x(m), y(m), heading(deg)
5.000, 4.000, 5.39
49.577, 8.208, -83.36
49.588, 8.107, -82.19
49.602, 8.007, -81.03
49.618, 7.907, -79.87
49.636, 7.807, -78.71
49.656, 7.708, -77.55
49.677, 7.609, -76.39
49.701, 7.510, -75.23
49.727, 7.412, -74.07
49.755, 7.315, -72.91
49.785, 7.218, -71.74
49.816, 7.122, -70.58
49.850, 7.026, -69.42
49.886, 6.931, -68.26
49.923, 6.837, -67.10
49.963, 6.744, -65.94
50.004, 6.651, -64.78
50.047, 6.560, -63.62
50.092, 6.469, -62.46
50.139, 6.379, -61.29
50.188, 6.290, -60.13
50.238, 6.202, -58.97
50.290, 6.116, -57.81
50.344, 6.030, -56.65
50.400, 5.945, -55.49
50.457, 5.862, -54.33
50.517, 5.779, -53.17
50.577, 5.698, -52.01
50.640, 5.618, -50.85
50.704, 5.540, -49.68
50.769, 5.463, -48.52
50.836, 5.387, -47.36
50.905, 5.312, -46.20
50.975, 5.239, -45.04
51.047, 5.167, -43.88
51.120, 5.097, -42.72
51.194, 5.028, -41.56
51.270, 4.961, -40.40
51.347, 4.895, -39.23
51.426, 4.831, -38.07
51.505, 4.769, -36.91
51.586, 4.708, -35.75
51.669, 4.649, -34.59
51.752, 4.591, -33.43
51.837, 4.535, -32.27
51.922, 4.481, -31.11
52.009, 4.429, -29.95
52.097, 4.378, -28.79
52.186, 4.330, -27.62
52.275, 4.283, -26.46
52.366, 4.238, -25.30
52.458, 4.194, -24.14
52.550, 4.153, -22.98
52.643, 4.113, -21.82
52.737, 4.076, -20.66
52.832, 4.040, -19.50
52.928, 4.006, -18.34
53.024, 3.974, -17.17
53.121, 3.944, -16.01
53.218, 3.916, -14.85
53.316, 3.890, -13.69
53.415, 3.866, -12.53
53.513, 3.844, -11.37
53.613, 3.824, -10.21
53.712, 3.806, -9.05
53.813, 3.791, -7.89
53.913, 3.777, -6.72
54.014, 3.765, -5.56
54.114, 3.755, -4.40
54.215, 3.747, -3.24
54.317, 3.741, -2.08
54.418, 3.738, -0.92
54.519, 3.736, 0.24
54.620, 3.737, 1.40
54.722, 3.739, 2.56
54.823, 3.744, 3.72
54.924, 3.750, 4.89
55.025, 3.759, 6.05
55.126, 3.769, 7.21
55.226, 3.782, 8.37
55.327, 3.797, 9.53
55.426, 3.814, 10.69
55.526, 3.832, 11.85
55.625, 3.853, 13.01
55.724, 3.876, 14.17
55.822, 3.901, 15.34
55.920, 3.928, 16.50
56.017, 3.956, 17.66
56.114, 3.987, 18.82
56.209, 4.020, 19.98
